plz;ort;bundesland;einwohner_adjusted_plz;bev_m_plz;bev_w_plz;bev_insgesamt_ort;bev_weiblich_ort;bev_männlich_ort;qkm_plz;fläche_ort;einwohnerdichte_prokm2_plz;haushalte_regiog_2017_plz;kaufkraft_einwohner_in_eur_regio;kk_einwohner_index_regiog_2017;kk_hh_index_regiog_2017;gemeindetyp_regiostar_2016;wirtschaftskraftmr1;wirtschaftskraftmr2
1067;Dresden;Sachsen;12932; 6452; 6480; 554647; 277920; 276729;  6.866862;328.910594;   39.318;8459;19367.259999999998;87.087000000000003;66.777000000000001;Stadtregion - Metropole;-7.825808e-01;-4.729445e-01
1069;Dresden;Sachsen;27571;13756;13815; 554647; 277920; 276729;  5.352387;328.910594;   83.825;16101;17691.96;79.554000000000002;67.259;Stadtregion - Metropole;-9.896463e-01;-4.402033e-01
1097;Dresden;Sachsen;16019; 7992; 8027; 554647; 277920; 276729;  3.276896;328.910594;   48.703;10222;18899.27;84.983000000000004;70.263000000000005;Stadtregion - Metropole;-8.404239e-01;-4.637984e-01
1099;Dresden;Sachsen;30289;15112;15177; 554647; 277920; 276729; 58.523263;328.910594;   92.089;17257;19248.79;86.554000000000002;74.852000000000004;Stadtregion - Metropole;-7.972236e-01;-4.706292e-01
1108;Dresden;Sachsen; 6355; 3171; 3184; 554647; 277920; 276729; 16.447222;328.910594;   19.321;2791;24002.23;107.929;116.072;Stadtregion - Metropole;-2.097027e-01;-5.635280e-01
1109;Dresden;Sachsen;21642;10798;10844; 554647; 277920; 276729; 24.738921;328.910594;   65.799;10340;22573.29;101.503;96.995999999999995;Stadtregion - Metropole;-3.863184e-01;-5.356016e-01
1127;Dresden;Sachsen;16320; 8142; 8178; 554647; 277920; 276729;  3.216889;328.910594;   49.618;9264;18013.25;80.998999999999995;70.808000000000007;Stadtregion - Metropole;-9.499352e-01;-4.464824e-01
1129;Dresden;Sachsen;20458;10207;10251; 554647; 277920; 276729;  7.415037;328.910594;   62.199;10612;19857.62;89.292000000000002;82.025000000000006;Stadtregion - Metropole;-7.219727e-01;-4.825279e-01
1139;Dresden;Sachsen;18987; 9473; 9514; 554647; 277920; 276729;  8.437545;328.910594;   57.727;10563;19207.849999999999;86.37;76.168000000000006;Stadtregion - Metropole;-8.022837e-01;-4.698291e-01
1156;Dresden;Sachsen;12240; 6107; 6133; 554647; 277920; 276729; 31.752511;328.910594;   37.214;5757;23713.83;106.63200000000001;108.73699999999999;Stadtregion - Metropole;-2.453487e-01;-5.578917e-01
1157;Dresden;Sachsen;22371;11161;11210; 554647; 277920; 276729;  8.059421;328.910594;   68.015;11938;20214.02;90.894999999999996;82.921999999999997;Stadtregion - Metropole;-6.779220e-01;-4.894932e-01
1159;Dresden;Sachsen;29923;14929;14994; 554647; 277920; 276729;  5.920690;328.910594;   90.976;17570;17877.87;80.39;68.212999999999994;Stadtregion - Metropole;-9.666680e-01;-4.438366e-01
1169;Dresden;Sachsen;20649;10302;10347; 554647; 277920; 276729;  4.861648;328.910594;   62.780;12068;19362.310000000001;87.064999999999998;72.462999999999994;Stadtregion - Metropole;-7.831926e-01;-4.728478e-01
1187;Dresden;Sachsen;17763; 8862; 8901; 554647; 277920; 276729;  5.084644;328.910594;   54.006;9855;20436.54;91.894999999999996;82.578999999999994;Stadtregion - Metropole;-6.504187e-01;-4.938420e-01
1189;Dresden;Sachsen;10536; 5257; 5279; 554647; 277920; 276729;  5.311302;328.910594;   32.033;5507;23292.65;104.738;92.021000000000001;Stadtregion - Metropole;-2.974062e-01;-5.496604e-01
1217;Dresden;Sachsen;18879; 9419; 9460; 554647; 277920; 276729;  5.864573;328.910594;   57.399;10546;21462.42;96.507999999999996;83.543999999999997;Stadtregion - Metropole;-5.236209e-01;-5.138913e-01
1219;Dresden;Sachsen;22672;11312;11360; 554647; 277920; 276729;  6.961967;328.910594;   68.931;12704;20126.12;90.498999999999995;80.203999999999994;Stadtregion - Metropole;-6.887864e-01;-4.877753e-01
1237;Dresden;Sachsen;16803; 8383; 8420; 554647; 277920; 276729;  4.265033;328.910594;   51.087;9293;20139.21;90.558000000000007;77.370999999999995;Stadtregion - Metropole;-6.871685e-01;-4.880311e-01
1239;Dresden;Sachsen;16369; 8167; 8202; 554647; 277920; 276729;  5.730396;328.910594;   49.767;9149;19796.57;89.018000000000001;76.698999999999998;Stadtregion - Metropole;-7.295185e-01;-4.813347e-01
1257;Dresden;Sachsen;17622; 8792; 8830; 554647; 277920; 276729;  8.276258;328.910594;   53.577;9848;19970.919999999998;89.802000000000007;79.358000000000004;Stadtregion - Metropole;-7.079690e-01;-4.847421e-01
